"personLabel"
"Daniel Houghton"
"Mark Beaumont"
"Harry Dunlop"
"Michel Croz"
"Elkan Nathan Adler"
"David Wynford Carnegie"
"David Dicks"
"David E. Folsom"
"David Edward Jackson"
"David Lloyd Jones"
"David Nelson"
"David Noble"
"Demid Pyanda"
"Yamada Nagamasa"
"Hendrick Hamel"
"King Mu of Zhou"
"Diogo Ribeiro"
"Diego de Agüero"
"Dieter Bockhorn"
"Leonardo Fea"
"Pierre Jacotin"
"Diogo Gomes"
"Diogo Lopes de Sequeira"
"Diogo Rodrigues"
"Diogo de Azambuja"
"Diogo de Silves"
"Joseph Tiefenthaler"
"Frank Worsley"
"Dixon Denham"
"Henry I Sinclair, Earl of Orkney"
"Nils Gustaf Ekholm"
"Girolamo Benzoni"
"Pyotr Kolodin"
"Domingo de Bonechea"
"Andrew Boorde"
"Donnacona"
"Donovan Stewart Correll"
"Paulo Dias de Novais"
"Giacomo Beltrami"
"Antonio Raimondi"
"Alexander Keith Johnston"
"Floyd Bennett"
"Floyd Alonzo McClure"
"Frank Debenham"
"Francesco Carletti"
"Francis Chichester"
"Francis Garnier"
"Francisco de Aguirre"
"Francisco de Hoces"
"Francisco de Villagra"
"George Simpson"
"Frans Blom"
"Harry Pennell"
"Edmund Lockyer"
"Franz Heinrich Kleinschmidt"
"Franz Ludwig Michel"
"François Caron"
"François Leguat"
"Frederic Louis Norden"
"Pierre-François Bernier"
"Friedrich Adolph Wislizenus"
"Redmond O'Hanlon"
"Jenő Zichy"
"Thomas Gilbert"
"Robert Austin"
"Ivan Kuskov"
"Horatio Thomas Austin"
"Gabriel Bonvalot"
"Gavril Sarychev"
"Henry Mangles Denham"
"Richard Jobson"
"Georg von Meyendorff"
"George Elphinstone Dalrymple"
"George Henry Hamilton Tate"
"George Kennan"
"George Marston"
"George Wheeler"
"George W. Hayward"
"Georges Houot"
"Gerrit van Wuysthoff"
"Louis Henri Boussenard"
"Hamilton Hume"
"Giovanni Cavazzi da Montecuccolo"
"Giovanni Beltrame"
"Gemelli Careri"
"Juan Martínez de Ampiés"
"Moritz von Engelhardt"
"Pierre Dugua, Sieur de Mons"
"Godfrid Haraldsson"
"Louis Gustave Binger"
"Pen Hadow"
"Grenville M. Dodge"
"Orator Fuller Cook"
"Gustav Adolf Haggenmacher"
"Herbert Basedow"
"Raymond Priestley"
"Göran Kropp"
"Alexey Tryoshnikov"
"Kenneth Gandar-Dower"
"Joseph Ingraham"
"John William Harshberger"
"Hanns Vischer"
"Hans Gruner"
"Robin Lee Graham"
"Simón de Alcazaba y Sotomayor"
"Lewis Hubert Lasseter"
"Arthur Armstrong Denny"
"Ignaz Pallme"
"Heinrich Vogelsang"
"Heinrich Poser"
